; ------------------------------------------------
; Fit results:
; ============
; [1,1] amorphous boron: Thickness [nm] = 92.07656
; amorphous boron: N0 = 2.54600
; amorphous boron: N1 = 4017.90000
; amorphous boron: N2 = -5964.50000
; amorphous boron: K0 = -0.00200
; amorphous boron: K1 = -352.24300
; amorphous boron: K2 = -253.47100
; ------------------------------------------------
;pattern=*****
;lines
;linecolor=008000
;linewidth=1
;marker=0
;markerborder=0
;markercolor=ff
;
; Stylerecord: No. 1
;Marker[1]=0
;MarkerWidth[1]=0.0
;MarkerBorder[1]=black
;MarkerColor[1]=white
;lines[1]=1
;LineColor[1]=black
;LineWidth[1]=0.0
;Pattern[1]=*****--*--
; Stylerecord: No. 2
;Marker[2]=0
;MarkerWidth[2]=0.0
;MarkerBorder[2]=black
;MarkerColor[2]=white
;lines[2]=1
;LineColor[2]=black
;LineWidth[2]=0.0
;Pattern[2]=**
; Stylerecord: No. 3
;Marker[3]=0
;MarkerWidth[3]=0.0
;MarkerBorder[3]=black
;MarkerColor[3]=white
;lines[3]=1
;LineColor[3]=black
;LineWidth[3]=0.0
;Pattern[3]=*-
; Stylerecord: No. 4
;Marker[4]=0
;MarkerWidth[4]=0.0
;MarkerBorder[4]=black
;MarkerColor[4]=white
;lines[4]=1
;LineColor[4]=black
;LineWidth[4]=0.0
;Pattern[4]=**--
; Stylerecord: No. 5
;Marker[5]=0
;MarkerWidth[5]=0.0
;MarkerBorder[5]=black
;MarkerColor[5]=white
;lines[5]=1
;LineColor[5]=black
;LineWidth[5]=0.0
;Pattern[5]=***-*-
; Stylerecord: No. 6
;Marker[6]=0
;MarkerWidth[6]=0.0
;MarkerBorder[6]=black
;MarkerColor[6]=white
;lines[6]=1
;LineColor[6]=black
;LineWidth[6]=0.0
;Pattern[6]=**-*-
616.936157	38.279018	174.760193	33.782242	171.056900	25.981039	164.472260
617.810913	38.288689	174.240051	33.648842	171.345001	26.109020	164.900238
618.685669	38.736229	174.455276	33.670750	170.807755	25.958679	165.098663
619.560486	38.906620	175.172287	33.851509	171.485382	26.171659	165.239014
620.435242	38.428841	174.435181	33.772202	171.356995	26.184891	166.371323
621.309998	38.505119	173.948486	33.907379	171.492844	26.082911	166.114502
622.184753	38.845131	175.149261	34.016201	172.050293	26.268129	166.907501
623.059509	38.585972	174.693115	34.058929	172.119141	26.125370	166.727905
623.934326	38.635578	174.458572	34.013340	172.581696	26.340860	167.374176
624.809082	38.385281	174.738449	33.831741	172.711639	26.343611	166.958466
625.683838	38.788872	175.485168	33.954140	172.918488	26.130930	167.269333
626.558594	37.902000	173.875076	34.122551	173.082428	26.333830	167.735657
627.433350	38.254871	174.916199	34.047009	172.288254	26.225420	168.087997
628.308105	38.241539	176.034622	33.889820	172.714462	26.385160	168.442078
629.182922	39.088310	175.625076	34.116379	173.018677	26.479120	168.518356
630.057678	38.693501	176.803101	34.104160	173.289780	26.402941	168.664200
630.932434	38.610020	175.020294	34.069630	173.636780	26.231050	168.886169
631.807190	38.706490	175.621155	33.880569	173.562439	26.429489	169.201706
632.681946	38.897591	175.178024	34.113529	173.342163	26.251230	169.251251
633.556763	38.660469	175.921097	34.010540	173.346222	26.435690	170.188263
634.431519	39.210678	176.712662	34.044201	173.842270	26.417660	170.547195
635.306274	39.328320	177.136688	34.135651	173.825882	26.429670	170.715469
636.181030	38.995300	175.763184	34.117168	174.222641	26.525780	170.728607
637.055786	38.676060	176.662521	33.981270	174.242996	26.328329	171.056030
637.930603	38.422871	177.607437	34.218929	174.388672	26.386971	170.808380
638.805359	39.076580	176.027725	33.969311	174.687500	26.416260	171.181625
639.680115	38.983589	176.015945	34.124950	174.609421	26.601379	172.073975
640.554871	38.653790	177.534241	34.183601	174.919998	26.503059	171.875198
641.429626	39.854031	176.026993	34.084160	174.856750	26.429590	172.144669
642.304382	38.835388	178.291397	34.212921	174.903549	26.496120	172.334015
643.179199	38.370831	176.985275	34.386452	175.336578	26.513680	173.068985
644.053955	38.828548	177.783615	34.219040	175.337646	26.523439	173.029251
644.928711	38.369461	175.843750	34.363178	175.705078	26.434811	173.269333
645.803467	39.032711	176.478470	34.082691	175.631882	26.547350	173.860443
646.678223	38.826199	176.908188	34.354820	175.954712	26.517071	173.521667
647.553040	38.838940	177.275650	34.256599	176.228668	26.475410	173.764236
648.427795	39.050331	176.869858	33.982361	176.003021	26.532669	174.820190
649.302551	38.602810	178.321381	34.062630	176.200226	26.401440	174.901764
650.177307	38.285141	179.377686	34.143551	176.138474	26.593430	175.231934
651.052063	38.632969	176.844543	34.248981	176.463089	26.448879	175.155624
651.926880	38.918480	176.925995	34.397430	176.840012	26.531130	174.990326
652.801636	38.833439	176.604095	34.202728	177.027710	26.685949	175.587692
653.676392	38.533741	178.748718	34.233620	176.534134	26.679890	176.314621
654.551147	38.335079	177.707123	34.193390	176.662460	26.872431	176.130371
655.425903	39.204769	177.120377	34.170731	177.330093	26.954710	176.717667
656.300659	38.270199	178.226196	34.488480	177.080978	26.620781	176.093124
657.175476	38.252281	178.139084	34.175720	177.356567	26.638241	177.119293
658.050232	39.323608	178.260208	34.182869	177.448715	26.787029	177.500031
658.924988	38.905602	177.384628	34.348251	177.628754	26.640539	177.056931
659.799744	38.706230	177.287766	34.273232	177.823242	26.638769	177.217987
660.674500	38.465759	178.146744	34.493561	177.965485	26.704580	177.893326
661.549316	38.656029	178.357483	34.538830	178.102463	26.710630	178.663300
662.424072	39.220661	177.979340	34.381760	178.202301	26.607349	178.667053
663.298828	38.512489	178.027832	34.416420	178.280640	26.564699	178.233261
664.173584	38.732391	179.508789	34.372471	178.774643	26.759970	179.168793
665.048340	39.486969	179.067627	34.378281	178.867004	27.028410	179.003403
665.923096	38.415840	179.538925	34.518822	178.954941	26.585711	179.081299
666.797913	38.935619	177.572296	34.446442	178.645584	26.766809	179.498337
667.672668	38.553829	180.097702	34.369770	179.311142	26.768530	180.254639
668.547424	39.278728	179.336716	34.390800	179.459305	26.647230	180.151230
669.422180	38.893879	179.362625	34.480492	179.048508	26.716511	180.564774
670.296936	38.675732	178.532471	34.458649	179.121628	26.572611	181.441391
